time*0.5 [s],altitude [cm],rot_old [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg],rot_twe [rpm],thrust_h,thrust_m,thrust_l,rudder,elevator,rudderFB,elevatorFB,rudderTrim,elevatortrim,battVoltage,battCurrent,nunchuckC,nunchuckZ
216,33,0.0,0.0,0.0,2.9,176.1,0.6,0,0,5,90,90,180,180,90,90,790,22,0,0
217,19,0.0,0.0,0.0,2.8,176.1,0.6,0,0,5,90,90,180,180,90,90,790,16,0,0
218,19,0.0,0.0,0.0,2.8,176.2,0.6,0,0,5,90,90,180,180,90,90,790,15,0,0
219,19,0.0,0.0,0.0,2.8,176.4,0.6,0,0,5,90,90,180,180,90,90,791,15,0,0
220,33,0.0,0.0,0.0,2.9,176.3,0.6,0,0,0,90,90,180,180,90,90,790,15,0,0
221,33,0.0,0.0,0.0,3.0,176.0,0.6,0,0,0,90,90,180,180,90,90,790,14,0,0
222,33,0.0,0.0,0.0,3.0,175.7,0.6,0,0,0,90,90,180,180,90,90,791,13,0,0
223,33,0.0,0.0,0.0,2.9,175.8,0.6,0,0,0,90,90,180,180,90,90,790,15,0,0
224,33,0.0,0.0,0.0,2.8,176.1,0.6,0,0,0,90,90,180,180,90,90,791,15,0,0
225,33,0.0,0.0,0.0,2.9,176.3,0.6,0,0,5,90,90,180,180,90,90,791,16,0,0
226,33,0.0,0.0,0.0,2.9,176.0,0.6,0,0,5,90,90,180,180,90,90,791,16,0,0
227,33,0.0,0.0,0.0,2.8,176.0,0.4,0,0,0,90,90,180,180,90,90,790,14,0,0
228,33,0.0,0.0,0.0,2.9,176.1,0.4,0,0,0,90,90,180,180,90,90,790,16,0,0
229,33,0.0,0.0,0.0,2.9,176.1,0.4,0,0,0,90,90,180,180,90,90,790,14,0,0
230,33,0.0,0.0,0.0,2.7,176.2,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
231,33,0.0,0.0,0.0,2.5,176.4,0.0,0,0,57,90,90,180,180,90,90,790,15,0,0
232,33,0.0,0.0,0.0,2.5,176.4,0.0,0,0,57,90,90,180,180,90,90,791,14,0,0
233,33,0.0,0.0,0.0,2.6,176.3,0.0,0,0,57,90,90,180,180,90,90,791,15,0,0
234,33,0.0,0.0,0.0,2.7,176.2,0.4,0,0,0,90,90,180,180,90,90,791,14,0,0
235,19,0.0,0.0,0.0,2.8,176.2,0.4,0,0,0,90,90,180,180,90,90,790,16,0,0
236,19,0.0,0.0,0.0,3.1,176.0,0.4,0,0,0,90,90,180,180,90,90,791,15,0,0
237,19,0.0,0.0,0.0,3.0,176.1,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
238,19,0.0,0.0,0.0,3.0,176.0,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
239,19,0.0,0.0,0.0,2.9,175.9,0.4,0,0,0,90,90,180,180,90,90,791,14,0,0
240,19,0.0,0.0,0.0,2.8,176.1,0.4,0,0,0,90,90,180,180,90,90,791,16,0,0
241,19,0.0,0.0,0.0,2.7,176.1,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
242,19,0.0,0.0,0.0,2.8,176.0,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
243,19,0.0,0.0,0.0,2.8,176.3,0.4,0,0,0,90,90,180,180,90,90,790,14,0,0
244,19,0.0,0.0,0.0,2.7,176.2,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
245,19,0.0,0.0,0.0,2.7,175.9,0.4,0,0,0,90,90,180,180,90,90,790,14,0,0
246,19,0.0,0.0,0.0,2.9,175.8,0.4,0,0,0,90,90,180,180,90,90,790,15,0,0
