time*0.5 [s],altitude [cm],rotation [rpm],airspeed [m/s],yaw [deg],pitch [deg],roll [deg]
276,0,3.3,0.19,-10.85,-0.03,-0.72
277,0,3.3,0.106,-10.85,-0.03,-0.72
278,0,3.3,0.026,-11.37,-0.07,-0.02
279,0,3.3,0.003,-11.37,-0.07,-0.02
280,0,3.3,2.396,-11.63,0.35,-0.73
281,0,3.3,1.559,-11.88,0.92,-0.65
282,0,3.3,1.559,-11.88,0.92,-0.65
283,0,3.3,0.864,-11.98,1.01,-0.97
284,0,3.3,0.007,-11.98,1.01,-0.97
285,0,3.3,0.064,-12.04,0.53,-1.17
286,0,3.3,0.05,-12.04,0.53,-1.17
287,0,3.3,0.386,-11.37,0.65,-1.87
288,0,3.3,0.726,-11.37,0.65,-1.87
289,0,3.3,0.237,-10.7,0.6,-1.63
290,0,3.3,0.02,-10.7,0.6,-1.63
291,0,3.3,0.046,-10.72,0.41,-0.15
292,0,3.3,0.236,-10.8,0.54,0.04
293,0,3.3,0.075,-10.8,0.54,0.04
294,0,3.3,0.004,-11.1,1.15,-0.47
295,0,3.3,0.08,-11.1,1.15,-0.47
296,0,3.3,0.021,-11.57,0.9,-1.64
297,0,3.3,0.005,-11.57,0.9,-1.64
298,0,3.3,0.018,-11.57,0.9,-1.64
299,0,3.3,0.201,-12.61,0.19,-0.62
300,0,3.3,0.242,-12.61,0.19,-0.62
301,0,3.3,0.015,-13.39,0.54,-0.36
302,0,3.3,0.249,-13.39,0.54,-0.36
303,0,3.3,0.005,-13.39,0.54,-0.36
304,0,3.3,0.094,-13.39,0.54,-0.36
305,0,3.3,0.024,-14.75,0.3,-0.83
306,0,3.3,0.234,-14.75,0.3,-0.83
307,0,3.3,0.079,-15.21,-0.02,-0.24
308,0,3.3,0.345,-15.21,-0.02,-0.24
309,0,3.3,0.361,-15.75,0.32,0.01
310,0,3.3,0.045,-15.75,0.32,0.01
311,0,3.3,0.206,-15.91,0.71,0.5
312,0,3.3,0.692,-15.91,0.71,0.5
313,0,3.3,0.024,-15.45,0.59,-1.28
314,0,3.3,0.004,-15.41,0.5,-1.67
315,0,3.3,0.049,-15.41,0.5,-1.67
316,0,3.3,0.053,-15.01,0.61,-0.39
317,0,3.3,0.102,-15.01,0.61,-0.39
318,0,6.6,0.409,-14.95,0.51,-0.77
319,0,3.3,0.974,-14.95,0.51,-0.77
320,0,3.3,0.973,-15.16,-0.28,-0.45
321,0,3.3,0.726,-15.25,0.37,-0.32
322,0,3.3,1.138,-15.25,0.37,-0.32
323,0,10.0,0.457,-15.83,0.49,-0.12
324,0,6.6,0.381,-15.83,0.49,-0.12
325,0,6.6,0.5,-16.06,-0.25,-0.62
326,0,6.6,0.477,-16.06,-0.25,-0.62
327,0,6.6,0.36,-16.21,-0.01,-0.56
328,0,3.3,0.233,-16.21,-0.01,-0.56
329,1,3.3,0.071,-16.21,0.13,0.32
330,1,3.3,0.025,-16.21,0.13,0.32
331,1,3.3,0.137,-16.21,0.13,0.32
332,0,3.3,0.457,-16.24,0.4,0.59
333,0,3.3,0.947,-16.24,0.4,0.59
334,0,3.3,1.114,-16.41,-0.2,0.53
335,0,3.3,0.289,-16.41,-0.2,0.53
336,0,3.3,0.319,-16.36,0.15,-0.12
337,0,3.3,0.728,-16.36,0.15,-0.12
338,0,3.3,0.388,-16.39,-0.04,0.06
339,0,3.3,0.113,-16.41,0.85,0.65
340,0,3.3,0.124,-16.41,0.85,0.65
341,0,3.3,0.412,-16.39,1.43,-0.17
342,0,3.3,0.803,-16.39,1.43,-0.17
343,0,3.3,0.238,-16.17,1.11,-0.68
344,0,3.3,0.549,-16.17,1.11,-0.68
345,0,3.3,0.497,-16.17,1.11,-0.68
346,0,3.3,0.359,-16.77,0.88,0.15
347,0,3.3,0.236,-17.44,0.93,-0.29
348,0,3.3,0.092,-17.44,0.93,-0.29
349,0,3.3,0.065,-17.91,-0.63,-0.94
350,0,3.3,0.006,-17.91,-0.63,-0.94
351,0,3.3,0.126,-17.61,-0.87,-0.47
352,0,3.3,0.096,-17.61,-0.87,-0.47
353,0,3.3,0.917,-17.65,-0.58,-0.03
354,0,3.3,1.679,-17.65,-0.58,-0.03
355,0,3.3,0.913,-17.77,-0.05,-0.13
356,0,3.3,0.119,-17.77,-0.05,-0.13
357,0,3.3,0.638,-17.77,-0.05,-0.13
358,0,3.3,0.519,-17.84,-0.35,-0.31
